# meta={"format": "probe_hits_cells", "version": "1.0", "exported_at": "2026-01-12T23:48:34", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [-50.0, 10, -50.0], "u_vec": [1.0, 0.0, 0.0], "v_vec": [0.0, 0.0, 1.0], "du": 1.0, "dv": 1.0, "nu": 100, "nv": 100}, "summary": {"unique_hit_cells": 6426, "total_hits": 167976}, "context": {"charge_kg_tnt": 500, "n_rays_horizontal": 200000, "min_cos_to_normal": 0.08, "hemisphere": "+Y (horizontal plane focus)", "note": "only upward hemisphere rays; grazing filtered with dot(y)>=threshold", "house_centers": [[-20, -20], [-20, 0], [-20, 20], [20, -20], [20, 0], [20, 20]], "house_size": 10.0}, "aggregation": {"Pmax_inc_kPa": "max over incident_peak_pressure_kpa within cell", "t_first_ms": "min over arrive_time_ms within cell", "hits": "count of hits within cell"}}
# columns=i,j,hits,Pmax_inc_kPa,t_first_ms
i,j,hits,Pmax_inc_kPa,t_first_ms
51,41,155,466.93611488961307,8.985263349737584
41,51,173,466.8942563417362,8.985912105921317
48,41,156,466.64377784776167,8.989796428311841
58,51,173,466.06660743623854,8.998761421686988
48,58,154,465.8163531346171,9.002654819229962
57,45,164,465.3368809199486,9.010124977617192
45,57,157,465.25349237503457,9.011425597895709
54,57,157,465.08669847497475,9.01402837386737
42,45,165,465.0033730271369,9.015329282412669
54,42,156,464.75352273271903,9.019232584315231
45,42,157,464.5867417276752,9.02184025688331
52,41,155,457.6398701936051,9.131991391683423
52,58,152,456.9449404921624,9.143177906778202
41,52,165,456.69727308543526,9.147172176556438
47,41,150,456.4499504948286,9.151164820018295
58,47,170,456.2024278746223,9.15516463541055
58,52,167,455.7901810527962,9.161835065495234
47,58,154,455.54292981334993,9.165841024887312
41,47,164,455.29586763367615,9.169847874376664
56,43,152,443.15297235194106,9.371781200298614
56,56,150,442.90952294884215,9.375932596981464
43,56,151,442.66626248269205,9.380084919837286
58,53,158,441.5112152533237,9.399857725187951
46,58,142,441.26814904126286,9.404030670501003
43,43,153,440.8499987615756,9.411219239991711
53,58,142,440.1893679128253,9.422601689782141
41,53,156,439.9467386365087,9.426789916903015
46,41,149,439.70444602822295,9.430976527307275
58,46,157,439.4618994737706,9.435171730676334
41,46,160,439.4552610668931,9.435286611008255
53,41,145,439.2128351139315,9.439484054342728
44,57,146,439.01103156518667,9.442981363320014
42,55,154,438.0964213885994,9.458868530321608
44,42,147,437.8545410156371,9.46308018684569
42,44,155,437.2031023683535,9.474444207994155
55,42,150,436.9614802280616,9.478667019239623
57,55,152,436.719827604433,9.482894613401925
57,44,149,436.0491804942662,9.494649577505509
55,57,151,435.80794966732714,9.498885866956789
54,58,133,422.2428497784604,9.744174329017007
58,54,152,420.96657087080234,9.767991458269089
45,58,134,420.72993246763355,9.772421896340763
45,41,129,420.2371435918262,9.781662646438098
58,45,149,420.0007408784519,9.786102655416197
49,59,137,419.9548109719391,9.786965817526019
59,49,157,419.8301997627467,9.789308504734676
40,49,156,419.71863360198955,9.791407018610634
50,59,137,419.5939836711704,9.793752833085904
41,54,149,419.5282941298878,9.794989569031715
50,40,139,419.4822994186774,9.79585572037213
40,50,159,419.357680060932,9.798203363248543
49,40,137,419.1217032365543,9.802652292533452
41,45,148,418.96414537798375,9.80562530682121
54,41,130,418.7282072666923,9.810081109721033
59,50,157,418.6627100266082,9.81131886592802
48,59,134,416.6796378927254,9.848962133424624
40,48,153,416.44443054629994,9.853448531902325
59,48,157,416.0590712021841,9.86080893239994
51,59,132,415.8240201363708,9.86530452095143
51,40,130,415.6281406276531,9.86905444595448
40,51,151,415.58895319500374,9.869805037554052
59,51,156,415.39316283583275,9.873557112638526
48,40,133,415.3540068688584,9.874307873276168
52,40,126,408.9940694600709,9.997984015367525
52,59,124,408.6965852296346,10.003854575451342
40,52,156,408.46389940031645,10.008451821796182
42,56,142,408.2763846381221,10.012160076399741
47,40,127,408.2311362193005,10.01305536405501
57,56,139,407.44325829028116,10.028673341287037
59,52,147,407.2562772842213,10.032387902776453
43,57,133,407.2109910162981,10.033288025617525
47,59,124,407.0238970041811,10.037008690375478
40,47,156,406.79177146045356,10.041629205079957
43,42,131,406.54015138288,10.04664318220749
59,47,149,406.4951764967992,10.04753998132442
57,43,142,406.3082203006063,10.051269822387225
56,57,131,406.0762796583433,10.055901459142467
42,43,141,405.4773131564134,10.067884542970845
56,42,131,405.24565275787035,10.07252784036988
44,41,120,398.8522370641593,10.20260828558857
41,44,144,398.1001288421019,10.21816029651538
55,58,115,396.9098401147904,10.242882461506076
41,55,143,396.6809120106668,10.247652740521817
55,41,118,396.3885180421241,10.253752772985392
58,55,141,396.1596366387213,10.258533495832447
44,58,118,395.93107089521266,10.26331264111681
59,46,147,395.5755520308493,10.270756265498045
53,40,117,395.556431889819,10.271156935447012
53,59,117,395.3470859244293,10.27554616643243
59,53,143,395.32791806630456,10.27594825863473
40,53,145,395.11855432435647,10.280342479642242
58,44,148,394.7444413527281,10.28820508575553
46,59,117,393.62311160252324,10.311853098916526
46,40,115,393.41421536407285,10.316272110294507
